email;website;url
;https://stores.pandora.net;https://jewelry.grandiani.com/profile/pandora-outlet-oxon-hill/
info@thediamondring.com;https://www.thediamondring.com;https://jewelry.grandiani.com/profile/the-diamond-ring-company-san-jose/
;https://www.helzberg.com;https://jewelry.grandiani.com/profile/helzberg-diamonds-broomfield/
;https://www.silverand.com;https://jewelry.grandiani.com/profile/silver-and-santa-barbara/
sales@sanjosewaco.com;https://www.sanjosewaco.com;https://jewelry.grandiani.com/profile/san-jose-jewelers-waco/
;https://www.winewednesdayjewelry.com;https://jewelry.grandiani.com/profile/wine-wednesday-jewelry-mankato/
;https://blueicegems.com;https://jewelry.grandiani.com/profile/blueice-gems-and-jewelry-new-york/
;;https://jewelry.grandiani.com/profile/nelson-bay-beads-new-orleans/
;https://www.davidyurman.com;https://jewelry.grandiani.com/profile/david-yurman-charlotte/
;https://www.porterfi.com;https://jewelry.grandiani.com/profile/porterfi-rocky-river/
info@mysite.com;https://www.joyeriazafiroazul.com;https://jewelry.grandiani.com/profile/joyeria-zafiro-azul-grand-rapids-2/
gnappraiser@gmail.com;https://goldsmiths-gallery.com;https://jewelry.grandiani.com/profile/goldsmiths-gallery-jewelry-by-design-concord/
;https://www.dugancustomjewelers.com;https://jewelry.grandiani.com/profile/dugan-custom-jewelers-providence/
;https://stores.banter.com;https://jewelry.grandiani.com/profile/banter-by-piercing-pagoda-youngstown/
;https://rogersandhollands.com;https://jewelry.grandiani.com/profile/rogers-hollands-jewelers-portage/
;https://stores.pandora.net;https://jewelry.grandiani.com/profile/pandora-jewelry-clifton-park/
;;https://jewelry.grandiani.com/profile/golden-jewelry-fashion-williamstown/
info@diamondking.com;https://diamondking.com;https://jewelry.grandiani.com/profile/diamond-king-scottsdale/
;https://stores.kay.com;https://jewelry.grandiani.com/profile/kay-jewelers-steubenville/
;;https://jewelry.grandiani.com/profile/zahen-jewelry-union-city/
;https://www.bellamackjewelry.com;https://jewelry.grandiani.com/profile/bella-mack-jewelry-mt-pleasant/
;https://www.bluenile.com;https://jewelry.grandiani.com/profile/blue-nile-los-angeles/
;https://www.goldsmithgalleryjewelers.com;https://jewelry.grandiani.com/profile/goldsmith-gallery-jewelers-bozeman/
;https://www.brilliantearth.com;https://jewelry.grandiani.com/profile/brilliant-earth-baltimore/
service@greenbergsjewelers.com;https://www.greenbergsjewelers.com;https://jewelry.grandiani.com/profile/greenbergs-jewelers-ankeny/
;https://www.etsy.com;https://jewelry.grandiani.com/profile/nifey-designs-florence/
;;https://jewelry.grandiani.com/profile/r-v-jewelry-chicago/
hello@lindseyleighjewelry.com;https://lindseyleighjewelry.com;https://jewelry.grandiani.com/profile/lindsey-leigh-jewelry-houston/
;https://stores.pandora.net;https://jewelry.grandiani.com/profile/pandora-jewelry-clarksburg/
;;https://jewelry.grandiani.com/profile/desi-glint-bayonne/
;https://www.buschjewelry.com;https://jewelry.grandiani.com/profile/busch-jewelers-rockford/
;;https://jewelry.grandiani.com/profile/alex-and-ani-wellington/
;https://www.downtownlongmont.com;https://jewelry.grandiani.com/profile/ron-r-fine-jewelry-longmont/
MCiarleglio@michaelsjewelers.com;https://michaelsjewelers.com;https://jewelry.grandiani.com/profile/michaels-jewelers-orange/
;https://www.swarovski.com;https://jewelry.grandiani.com/profile/swarovski-fort-lauderdale/
info@sabbia.com;https://www.sabbia.com;https://jewelry.grandiani.com/profile/sabbia-chicago/
;;https://jewelry.grandiani.com/profile/jpm-bros-inc-new-york/
;https://goldelite.com;https://jewelry.grandiani.com/profile/gold-elite-jewelers-broadview/
;https://www.gorjana.com;https://jewelry.grandiani.com/profile/gorjana-skokie/
ecommerce@Amrheins.com;https://www.amrheins.com;https://jewelry.grandiani.com/profile/amrheins-fine-jewelry-roanoke/
melissa@mmadingerjeweler.com;https://www.mmadingerjeweler.com;https://jewelry.grandiani.com/profile/m-madinger-jeweler-newark/
;https://stores.zales.com;https://jewelry.grandiani.com/profile/zales-glenwood-springs/
;https://stores.zales.com;https://jewelry.grandiani.com/profile/zales-outlet-commerce-2/
;https://www.brilliantearth.com;https://jewelry.grandiani.com/profile/brilliant-earth-alpharetta/
;;https://jewelry.grandiani.com/profile/schors-austin/
sales@tootsysfootsies.com;https://www.tootsysfootsies.com;https://jewelry.grandiani.com/profile/tootsys-footsies-st-augustine/
sales@diamonds4diamonds.com;https://jawahirjewelry.com;https://jewelry.grandiani.com/profile/%d9%85%d8%ac%d9%88%d9%87%d8%b1%d8%a7%d8%aa-%d8%ac%d9%88%d8%a7%d9%87%d8%b1-jawahir-jewelry-bridgeview/
jewelry@fredmeyer.com;https://www.fredmeyerjewelers.com;https://jewelry.grandiani.com/profile/fred-meyer-jewelers-boise-3/
;https://www.tucsonindianjewelry.com;https://jewelry.grandiani.com/profile/tucson-indian-jewelry-tucson/
